index,POI
"(21, 53)","基础设施:道路附属:桥,旅游景点:公园,酒店宾馆:经济型酒店,购物:家具家居建材:家具家居,公司企业:企业/工厂,地名地址:行政地名,基础设施:道路附属:桥,地名地址:行政地名,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,基础设施:交通设施:火车站,地名地址:行政地名,娱乐休闲:其它娱乐休闲,房产小区:产业园区,地名地址:行政地名,娱乐休闲:电影院,地名地址:行政地名,房产小区:房产小区附属,购物:家具家居建材:家具家居,购物:家具家居建材:建材"
"(22, 54)","汽车:其它汽车,公司企业:公司企业,酒店宾馆:酒店宾馆,美食:小吃快餐,购物:小商品市场,地名地址:行政地名,房产小区:住宅区:住宅小区,地名地址:热点区域:商圈类,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,美食:中餐厅:其它中餐厅,房产小区:住宅区:住宅小区,旅游景点:公园,美食:自助餐,房产小区:住宅区:住宅小区,文化场馆:会展中心,酒店宾馆:酒店宾馆附属,酒店宾馆:酒店宾馆"
"(19, 56)","公司企业:企业/工厂,购物:服饰鞋包:服装,机构团体:公检法机构,房产小区:产业园区,房产小区:产业园区,汽车:汽车销售,公司企业:公司企业,机构团体:科研机构,生活服务:洗衣店,公司企业:公司企业,运动健身:综合体育场馆,公司企业:公司企业,购物:家具家居建材:建材,公司企业:公司企业,公司企业:公司企业,购物:数码家电,运动健身:羽毛球馆,公司企业:公司企业,公司企业:公司企业,公司企业:公司企业"
"(19, 57)","房产小区:住宅区:住宅小区,旅游景点:公园,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,酒店宾馆:酒店宾馆,汽车:加油站:中石化,地名地址:行政地名,地名地址:行政地名,房产小区:住宅区:住宅小区,汽车:加油站:中石化,公司企业:公司企业,房产小区:产业园区,教育学校:培训,房产小区:住宅区:住宅小区,房产小区:商务楼宇,房产小区:住宅区:住宅小区,机构团体:社会团体"
"(18, 55)","房产小区:住宅区:住宅小区,酒店宾馆:酒店宾馆,房产小区:住宅区:住宅小区,生活服务:家政:送水,美食:中餐厅:西北菜,房产小区:住宅区:住宅小区,购物:便利店,医疗保健:专科医院:齿科,汽车:汽车养护,美食:小吃快餐,房产小区:住宅区:住宅小区,酒店宾馆:经济型酒店,房产小区:住宅区:住宅小区,娱乐休闲:酒吧,房产小区:住宅区:住宅小区,银行金融:银行,基础设施:交通设施:公交车站,教育学校:幼儿园,娱乐休闲:茶馆,银行金融:银行"
"(17, 53)","基础设施:公共设施:公共厕所,地名地址:行政地名,教育学校:小学,地名地址:行政地名,机构团体:政府机关,机构团体:政府机关,基础设施:道路附属:桥,房产小区:住宅区:住宅小区,基础设施:道路附属:桥,教育学校:幼儿园,机构团体:公检法机构,机构团体:政府机关,地名地址:行政地名,购物:超市,地名地址:道路名,地名地址:行政地名,购物:超市,生活服务:通讯服务:中国移动营业厅,机构团体:公检法机构,机构团体:政府机关"
"(18, 48)",旅游景点:景点公园附属
"(18, 47)",旅游景点:风景名胜
"(15, 56)","汽车:加油站:其它加油站,教育学校:职业技术学校,地名地址:行政地名,地名地址:行政地名,汽车:汽车养护,地名地址:行政地名,基础设施:交通设施:公交车站,教育学校:中学,基础设施:道路附属:桥,基础设施:道路附属:路口,基础设施:道路附属:路口,基础设施:道路附属:桥,基础设施:道路附属:路口,基础设施:道路附属:路口,购物:家具家居建材:建材,基础设施:道路附属:路口,基础设施:道路附属:路口,公司企业:公司企业,公司企业:公司企业,机构团体:公检法机构"
"(15, 53)","基础设施:道路附属:路口,基础设施:道路附属:桥,基础设施:道路附属:桥,地名地址:行政地名,基础设施:交通设施:公交车站,基础设施:道路附属:桥,房产小区:住宅区:住宅小区,汽车:车辆管理机构,地名地址:行政地名,公司企业:公司企业,地名地址:行政地名,公司企业:公司企业,生活服务:福利院养老院,教育学校:幼儿园,公司企业:公司企业,机构团体:政府机关,地名地址:行政地名,购物:超市,机构团体:社会团体,机构团体:政府机关"
"(21, 51)","汽车:汽车销售,汽车:二手车交易市场,汽车:汽车销售,地名地址:行政地名,汽车:汽车销售,汽车:汽车销售,汽车:汽车维修,汽车:汽车销售,汽车:二手车交易市场,机构团体:政府机关,房产小区:住宅区:住宅小区,汽车:二手车交易市场,汽车:二手车交易市场,汽车:汽车销售,房产小区:住宅区:住宅小区,公司企业:公司企业,购物:农贸市场,旅游景点:国家级景点,汽车:二手车交易市场,汽车:车辆管理机构"
"(18, 50)",房产小区:住宅区:住宅小区
"(19, 50)","购物:农贸市场,购物:农贸市场,室内及附属设施:通行设施类:门/出入口,购物:农贸市场,地名地址:热点区域:行政类,购物:农贸市场,房产小区:住宅区:住宅小区,购物:农贸市场,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,室内及附属设施:通行设施类:门/出入口,房产小区:住宅区:住宅小区,公司企业:公司企业,房产小区:住宅区:住宅小区,购物:农贸市场,机构团体:社会团体,房产小区:住宅区:住宅小区,房产小区:商务楼宇,公司企业:公司企业,酒店宾馆:酒店宾馆"
"(19, 51)","美食:清真,房产小区:住宅区:住宅小区,美食:清真,医疗保健:诊所,运动健身:台球馆,美食:中餐厅:东北菜,美食:小吃快餐,房产小区:住宅区:住宅小区,美食:烧烤,购物:农贸市场,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,美食:小吃快餐,美食:中餐厅:东北菜,美食:清真,购物:文化用品,地名地址:热点区域:行政类,购物:综合商场:购物中心,美食:烧烤,教育学校:培训"
"(16, 50)","银行金融:银行,房产小区:住宅区:住宅小区,购物:综合商场,美食:火锅,美食:小吃快餐,美食:小吃快餐,酒店宾馆:经济型酒店,运动健身:台球馆,美食:中餐厅:新疆菜,美食:日韩菜:日本料理,医疗保健:专科医院:齿科,基础设施:交通设施:地铁站,教育学校:中学,娱乐休闲:洗浴推拿足疗:修脚,房产小区:住宅区:别墅,生活服务:美容美发:美容SPA,购物:超市,房产小区:住宅区:住宅小区,运动健身:跆拳道,基础设施:交通设施:公交车站"
"(15, 36)","购物:烟酒专卖,地名地址:行政地名,娱乐休闲:KTV,教育学校:大学,购物:便利店,地名地址:行政地名,房产小区:住宅区:别墅,房产小区:住宅区:其它住宅区,房产小区:住宅区:住宅小区,汽车:加油站:充电站,公司企业:公司企业,基础设施:交通设施:公交车站,购物:超市,汽车:汽车配件销售,医疗保健:社区医院,机构团体:政府机关,美食:中餐厅:东北菜,娱乐休闲:其它娱乐休闲,购物:超市,酒店宾馆:酒店宾馆"
"(22, 50)","房产小区:商务楼宇,酒店宾馆:经济型酒店,房产小区:产业园区,房产小区:商务楼宇,美食:小吃快餐,酒店宾馆:酒店宾馆,房产小区:住宅区:住宅小区,房产小区:商务楼宇,酒店宾馆:星级酒店,房产小区:产业园区,美食:火锅,房产小区:住宅区:住宅小区,购物:家具家居建材,地名地址:其它地名地址,酒店宾馆:酒店宾馆,购物:家具家居建材:家具家居,美食:中餐厅:其它中餐厅,地名地址:行政地名,医疗保健:医疗保健附属,酒店宾馆:酒店宾馆"
"(22, 55)",房产小区:住宅区:住宅小区
"(19, 55)","教育学校:小学,地名地址:行政地名,医疗保健:综合医院,购物:超市,旅游景点:公园,房产小区:住宅区:住宅小区,娱乐休闲:KTV,教育学校:中学,旅游景点:公园,房产小区:住宅区:住宅小区,医疗保健:社区医院,房产小区:住宅区:住宅小区,机构团体:政府机关,房产小区:住宅区:住宅小区,地名地址:行政地名,地名地址:行政地名,房产小区:住宅区:住宅小区,地名地址:行政地名,地名地址:行政地名,机构团体:政府机关"
"(22, 53)","基础设施:交通设施:地铁站,酒店宾馆:经济型酒店,房产小区:住宅区:住宅小区,美食:火锅,购物:便利店,银行金融:银行,房产小区:住宅区:住宅小区,机构团体:科研机构,美食:小吃快餐,酒店宾馆:酒店宾馆附属,美食:火锅,酒店宾馆:经济型酒店,酒店宾馆:旅馆招待所,购物:综合商场:购物中心,房产小区:住宅区:住宅小区,娱乐休闲:洗浴推拿足疗:洗浴,酒店宾馆:酒店宾馆,房产小区:住宅区:住宅小区,酒店宾馆:经济型酒店,房产小区:住宅区:其它住宅区"
"(21, 50)","房产小区:住宅区:住宅小区,机构团体:政府机关,酒店宾馆:经济型酒店,购物:农贸市场,教育学校:小学,购物:烟酒专卖,酒店宾馆:酒店宾馆,房产小区:产业园区,房产小区:住宅区:住宅小区,地名地址:热点区域:行政类,购物:农贸市场,房产小区:住宅区:住宅小区,汽车:汽车销售,房产小区:住宅区:住宅小区,汽车:汽车销售,房产小区:住宅区:住宅小区,公司企业:公司企业,房产小区:住宅区:住宅小区,美食:中餐厅:其它中餐厅,基础设施:交通设施:公交车站"
"(22, 47)","基础设施:交通设施:公交车站,医疗保健:综合医院,医疗保健:药房药店,房产小区:住宅区:住宅小区,生活服务:丧葬,娱乐休闲:洗浴推拿足疗,机构团体:政府机关,教育学校:中学,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,地名地址:道路名,房产小区:住宅区:住宅小区,教育学校:职业技术学校,机构团体:科研机构,房产小区:住宅区:住宅小区,机构团体:政府机关,教育学校:小学,机构团体:政府机关,公司企业:公司企业,机构团体:政府机关"
"(22, 44)","旅游景点:纪念馆,基础设施:交通设施:公交车站,旅游景点:风景名胜,地名地址:行政地名,汽车:加油站:充电站,旅游景点:公园,旅游景点:纪念馆,汽车:加油站:中石化,旅游景点:风景名胜,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,美食:中餐厅:其它中餐厅,旅游景点:风景名胜,旅游景点:纪念馆,公司企业:公司企业,基础设施:道路附属:桥,旅游景点:公园,机构团体:政府机关,酒店宾馆:酒店宾馆,公司企业:公司企业"
"(8, 35)","房产小区:住宅区:住宅小区,地名地址:行政地名,房产小区:住宅区:住宅小区,购物:超市,教育学校:教育学校附属,美食:中餐厅:川菜,教育学校:幼儿园,教育学校:职业技术学校,房产小区:住宅区:住宅小区,生活服务:中介机构,基础设施:交通设施:火车站,机构团体:政府机关,教育学校:职业技术学校,银行金融:银行,美食:中餐厅:酒楼,房产小区:住宅区:住宅小区,教育学校:其它教育学校,公司企业:公司企业,生活服务:邮局速递:邮局,基础设施:交通设施:公交车站"
"(19, 54)","教育学校:培训:音乐舞蹈,酒店宾馆:星级酒店,机构团体:科研机构,医疗保健:综合医院,机构团体:政府机关,美食:小吃快餐,房产小区:住宅区:住宅小区,机构团体:公检法机构,机构团体:科研机构,地名地址:行政地名,房产小区:住宅区:住宅小区,美食:火锅,酒店宾馆:星级酒店,房产小区:住宅区:住宅小区,美食:火锅,房产小区:住宅区:住宅小区,购物:超市,旅游景点:城市广场,基础设施:交通设施:公交车站,基础设施:交通设施:公交车站"
"(18, 54)","基础设施:交通设施:飞机场,基础设施:公共设施:紧急避难场所,公司企业:公司企业,教育学校:幼儿园,房产小区:住宅区:住宅小区,基础设施:交通设施:公交车站,地名地址:行政地名,汽车:停车场,旅游景点:纪念馆,基础设施:交通设施:公交线路,房产小区:住宅区:住宅小区,生活服务:邮局速递:速递,公司企业:公司企业,地名地址:行政地名,机构团体:政府机关,运动健身:综合体育场馆,汽车:加油站:充电站,房产小区:商务楼宇,机构团体:政府机关,公司企业:公司企业"
"(17, 56)","房产小区:住宅区:住宅小区,基础设施:交通设施:公交车站,美食:小吃快餐,购物:超市,购物:其它购物,医疗保健:综合医院,教育学校:幼儿园,美食:烧烤,地名地址:行政地名,美食:烧烤,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,旅游景点:公园,房产小区:住宅区:住宅小区,机构团体:公检法机构,房产小区:住宅区:住宅小区,教育学校:幼儿园,美食:小吃快餐"
"(18, 56)","公司企业:企业/工厂,购物:服饰鞋包:服装,机构团体:公检法机构,房产小区:产业园区,房产小区:产业园区,汽车:汽车销售,公司企业:公司企业,机构团体:科研机构,生活服务:洗衣店,公司企业:公司企业,运动健身:综合体育场馆,公司企业:公司企业,购物:家具家居建材:建材,公司企业:公司企业,公司企业:公司企业,购物:数码家电,运动健身:羽毛球馆,公司企业:公司企业,公司企业:公司企业,公司企业:公司企业"
"(21, 52)","旅游景点:公园,购物:体育户外,地名地址:行政地名,房产小区:商务楼宇,房产小区:房产小区附属,房产小区:产业园区,娱乐休闲:KTV,房产小区:商务楼宇,地名地址:热点区域:商圈类,美食:中餐厅:酒楼,汽车:汽车销售,地名地址:行政地名,房产小区:住宅区:住宅小区,房产小区:商务楼宇,运动健身:综合体育场馆,房产小区:住宅区:住宅小区,房产小区:商务楼宇,银行金融:银行,娱乐休闲:其它娱乐休闲,房产小区:住宅区:住宅小区"
"(22, 52)","基础设施:交通设施:地铁站,美食:中餐厅:湘菜,娱乐休闲:茶馆,房产小区:商务楼宇,教育学校:小学,购物:超市,教育学校:其它教育学校,酒店宾馆:经济型酒店,美食:火锅,美食:中餐厅:其它中餐厅,美食:自助餐,运动健身:台球馆,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,娱乐休闲:KTV,美食:中餐厅:北京菜,银行金融:银行,教育学校:幼儿园,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区"
"(14, 49)",旅游景点:公园
"(14, 50)",None
"(13, 46)","基础设施:道路附属:路口,教育学校:小学,地名地址:行政地名,医疗保健:其它医疗保健,地名地址:行政地名,汽车:加油站:中石化,美食:清真,汽车:加油站:中石化,机构团体:政府机关,公司企业:公司企业,基础设施:交通设施:公交车站,教育学校:幼儿园,房产小区:住宅区:住宅小区,地名地址:行政地名,地名地址:道路名,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,教育学校:小学,教育学校:中学,机构团体:科研机构"
"(13, 45)","运动健身:高尔夫场,地名地址:行政地名,教育学校:小学,地名地址:行政地名,医疗保健:卫生院,运动健身:高尔夫场,基础设施:交通设施:公交车站,旅游景点:风景名胜,地名地址:行政地名,美食:清真,地名地址:行政地名,机构团体:政府机关,房产小区:住宅区:住宅小区,基础设施:道路附属:桥,教育学校:幼儿园,房产小区:住宅区:住宅小区,地名地址:道路名,房产小区:住宅区:住宅小区,公司企业:公司企业,机构团体:科研机构"
"(13, 44)",运动健身:高尔夫场
"(14, 44)",运动健身:高尔夫场
"(14, 43)",None
"(15, 42)",机构团体:科研机构
"(16, 40)",房产小区:住宅区:住宅小区
"(17, 40)",房产小区:住宅区:住宅小区
"(17, 41)","房产小区:住宅区:住宅小区,地名地址:行政地名,生活服务:其它生活服务,基础设施:道路附属:路口,娱乐休闲:户外活动:垂钓园,地名地址:行政地名,房产小区:住宅区:住宅小区,地名地址:行政地名,基础设施:道路附属:收费站,基础设施:交通设施:公交车站,娱乐休闲:户外活动:垂钓园,娱乐休闲:其它娱乐休闲,基础设施:道路附属:桥,基础设施:道路附属:路口,地名地址:门牌信息,基础设施:道路附属:路口,娱乐休闲:户外活动:拓展培训,生活服务:其它生活服务,生活服务:旅行社,机构团体:公检法机构"
"(13, 37)","地名地址:行政地名,公司企业:公司企业,地名地址:行政地名,地名地址:行政地名,机构团体:政府机关,娱乐休闲:户外活动:拓展培训,地名地址:行政地名,酒店宾馆:旅馆招待所,公司企业:公司企业,地名地址:行政地名,其它,公司企业:公司企业,公司企业:公司企业,机构团体:政府机关,机构团体:政府机关,机构团体:公检法机构,机构团体:政府机关,机构团体:政府机关,公司企业:企业/工厂,教育学校:职业技术学校"
"(13, 38)","地名地址:行政地名,地名地址:道路名,娱乐休闲:户外活动:垂钓园,地名地址:行政地名,地名地址:行政地名,地名地址:行政地名,娱乐休闲:户外活动:垂钓园,娱乐休闲:户外活动:采摘园,娱乐休闲:KTV,购物:超市"
"(12, 36)",None
"(11, 36)","公司企业:公司企业,公司企业:其它公司企业,公司企业:公司企业,公司企业:公司企业,公司企业:企业/工厂,地名地址:行政地名,汽车:加油站:其它加油站,教育学校:教育学校附属,地名地址:行政地名,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,公司企业:公司企业,机构团体:科研机构,房产小区:住宅区:住宅小区,基础设施:交通设施:公交车站,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,公司企业:企业/工厂,公司企业:公司企业"
"(11, 37)",公司企业:企业/工厂
"(10, 37)",公司企业:企业/工厂
"(10, 41)","地名地址:自然地名:河流,地名地址:行政地名,公司企业:农林牧渔基地,地名地址:行政地名,地名地址:道路名,地名地址:道路名,基础设施:道路附属:路口,公司企业:农林牧渔基地,基础设施:道路附属:路口,基础设施:道路附属:路口"
"(11, 38)",医疗保健:社区医院
"(12, 37)","基础设施:公共设施:公共厕所,教育学校:大学,购物:其它购物,地名地址:行政地名,地名地址:行政地名,房产小区:产业园区,美食:中餐厅:其它中餐厅,地名地址:行政地名,教育学校:幼儿园,基础设施:交通设施:火车站,生活服务:福利院养老院,地名地址:行政地名,生活服务:邮局速递:速递,地名地址:行政地名,公司企业:公司企业,房产小区:住宅区:宿舍,公司企业:公司企业,教育学校:其它教育学校,美食:冷饮店"
"(12, 38)",None
"(12, 35)","房产小区:住宅区:住宅小区,地名地址:行政地名,房产小区:住宅区:住宅小区,公司企业:公司企业,公司企业:公司企业,机构团体:政府机关,房产小区:住宅区:住宅小区,医疗保健:社区医院,房产小区:住宅区:住宅小区,地名地址:行政地名,机构团体:传媒机构,房产小区:住宅区:住宅小区,购物:超市,房产小区:住宅区:住宅小区,生活服务:邮局速递:速递,房产小区:住宅区:住宅小区,生活服务:邮局速递:速递,房产小区:住宅区:住宅小区,机构团体:政府机关,机构团体:政府机关"
"(11, 35)","医疗保健:卫生院,机构团体:政府机关,医疗保健:专科医院:骨科,美食:小吃快餐,房产小区:住宅区:住宅小区,购物:体育户外,医疗保健:专科医院:骨科,地名地址:行政地名,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,公司企业:公司企业,汽车:加油站:中石化,地名地址:行政地名,生活服务:邮局速递:物流仓储场地,教育学校:中学,公司企业:公司企业,美食:火锅,酒店宾馆:酒店宾馆,教育学校:幼儿园,教育学校:幼儿园"
"(11, 34)",None
"(12, 33)","旅游景点:其它旅游景点,公司企业:公司企业,地名地址:行政地名,娱乐休闲:亲子,公司企业:公司企业,地名地址:行政地名,旅游景点:风景名胜,生活服务:邮局速递:物流公司,机构团体:政府机关,公司企业:农林牧渔基地,购物:农贸市场,教育学校:幼儿园,教育学校:小学,房产小区:住宅区:别墅,医疗保健:药房药店,地名地址:行政地名,生活服务:邮局速递:物流公司,公司企业:公司企业,房产小区:住宅区:住宅小区,机构团体:社会团体"
"(13, 31)","教育学校:其它教育学校,教育学校:培训,医疗保健:综合医院,教育学校:小学,购物:烟酒专卖,房产小区:住宅区:住宅小区,美食:中餐厅:酒楼,酒店宾馆:旅馆招待所,教育学校:小学,房产小区:住宅区:住宅小区,教育学校:幼儿园,运动健身:其它运动健身,公司企业:公司企业,地名地址:行政地名,教育学校:职业技术学校,房产小区:住宅区:住宅小区,购物:农贸市场,购物:超市,房产小区:住宅区:住宅小区,房产小区:商务楼宇"
"(20, 51)","房产小区:产业园区,生活服务:邮局速递:物流公司,生活服务:邮局速递:物流公司,生活服务:邮局速递:物流公司,生活服务:邮局速递:速递,生活服务:邮局速递:物流公司,生活服务:邮局速递:物流公司,购物:农贸市场,房产小区:产业园区,生活服务:邮局速递:物流公司,生活服务:邮局速递:物流公司,生活服务:邮局速递:物流公司,生活服务:邮局速递:速递,生活服务:邮局速递:物流公司,生活服务:邮局速递:物流公司,生活服务:邮局速递:物流公司,生活服务:邮局速递:速递,生活服务:邮局速递:物流公司,生活服务:邮局速递:物流公司,生活服务:邮局速递:物流公司"
"(20, 50)",None
"(17, 44)",None
"(17, 42)",None
"(15, 51)","医疗保健:综合医院,美食:中餐厅:东北菜,房产小区:住宅区:住宅小区,酒店宾馆:经济型酒店,基础设施:道路附属:桥,汽车:汽车养护,教育学校:中学,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,地名地址:地名地址信息,银行金融:其它银行金融,地名地址:行政地名,房产小区:住宅区:住宅小区,汽车:加油站:其它加油站,房产小区:住宅区:住宅小区,教育学校:幼儿园,机构团体:社会团体,房产小区:住宅区:住宅小区,教育学校:培训"
"(15, 52)","医疗保健:综合医院,美食:中餐厅:东北菜,房产小区:住宅区:住宅小区,酒店宾馆:经济型酒店,基础设施:道路附属:桥,汽车:汽车养护,教育学校:中学,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,地名地址:地名地址信息,银行金融:其它银行金融,地名地址:行政地名,房产小区:住宅区:住宅小区,汽车:加油站:其它加油站,房产小区:住宅区:住宅小区,教育学校:幼儿园,机构团体:社会团体,房产小区:住宅区:住宅小区,教育学校:培训"
"(15, 50)","基础设施:交通设施:地铁站,机构团体:公检法机构,基础设施:交通设施:火车站,美食:中餐厅:其它中餐厅,生活服务:通讯服务:中国移动营业厅,美食:其它美食,美食:中餐厅:其它中餐厅,房产小区:住宅区:住宅小区,美食:火锅,酒店宾馆:经济型酒店,基础设施:火车站附属,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,教育学校:成人教育,教育学校:成人教育,房产小区:住宅区:住宅小区,购物:超市,基础设施:交通设施:火车站,娱乐休闲:洗浴推拿足疗:按摩,娱乐休闲:洗浴推拿足疗:修脚"
"(15, 57)","美食:清真,地名地址:行政地名,基础设施:道路附属:桥,购物:其它购物,公司企业:公司企业,地名地址:行政地名,美食:中餐厅:酒楼,美食:烧烤,汽车:加油站:其它加油站,汽车:汽车维修,娱乐休闲:户外活动:采摘园,公司企业:公司企业,地名地址:行政地名,公司企业:公司企业,公司企业:公司企业,教育学校:小学,娱乐休闲:洗浴推拿足疗:洗浴,教育学校:幼儿园,公司企业:公司企业,公司企业:公司企业"
"(14, 58)","房产小区:产业园区,地名地址:行政地名,地名地址:行政地名,购物:体育户外,娱乐休闲:洗浴推拿足疗:洗浴,购物:家具家居建材:家具家居,购物:烟酒专卖,教育学校:幼儿园,购物:超市,机构团体:公检法机构,医疗保健:卫生院,基础设施:道路附属:路口,公司企业:公司企业,教育学校:中学,购物:家具家居建材:建材,医疗保健:药房药店,房产小区:产业园区,汽车:汽车配件销售,地名地址:道路名,公司企业:公司企业"
"(13, 49)",房产小区:住宅区:住宅小区
"(15, 49)","购物:烟酒专卖,房产小区:住宅区:住宅小区,房产小区:房产小区附属,地名地址:行政地名,教育学校:小学,房产小区:住宅区:住宅小区,基础设施:交通设施:公交车站,房产小区:商务楼宇,房产小区:住宅区:住宅小区,地名地址:行政地名,教育学校:其它教育学校,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,地名地址:行政地名,购物:家具家居建材:家具家居,房产小区:住宅区:住宅小区,教育学校:其它教育学校,旅游景点:植物园,机构团体:政府机关"
"(17, 49)","房产小区:住宅区:住宅小区,生活服务:其它生活服务,美食:中餐厅:北京菜,生活服务:其它生活服务,汽车:停车场,房产小区:住宅区:住宅小区,生活服务:中介机构,医疗保健:专科医院:齿科,购物:烟酒专卖,生活服务:美容美发:美容SPA,教育学校:大学,生活服务:美容美发:其它美容美发,酒店宾馆:经济型酒店,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,购物:超市,娱乐休闲:KTV,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,教育学校:中学"
"(16, 49)",旅游景点:公园
"(18, 49)","基础设施:公共设施:公共厕所,房产小区:住宅区:住宅小区,地名地址:热点区域:行政类,教育学校:小学,地名地址:行政地名,汽车:汽车维修,房产小区:住宅区:住宅小区,地名地址:热点区域:行政类,生活服务:其它生活服务,房产小区:住宅区:住宅小区,汽车:停车场,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,基础设施:交通设施:火车站,房产小区:住宅区:住宅小区,房产小区:住宅区:住宅小区,教育学校:幼儿园,地名地址:行政地名,教育学校:教育学校附属,房产小区:住宅区:社区中心"
"(21, 48)",房产小区:商务楼宇
"(20, 47)",None
"(21, 46)",None
"(21, 45)",None
"(22, 45)",公司企业:企业/工厂
"(20, 49)",None
"(22, 48)",None
"(22, 49)",房产小区:住宅区:住宅小区
"(17, 52)","教育学校:大学,教育学校:职业技术学校,地名地址:行政地名,房产小区:住宅区:住宅小区,房产小区:商务楼宇,房产小区:住宅区:住宅小区,房产小区:商务楼宇,房产小区:住宅区:住宅小区,房产小区:产业园区,汽车:汽车养护,房产小区:住宅区:住宅小区,美食:清真,酒店宾馆:经济型酒店,公司企业:公司企业,公司企业:公司企业,房产小区:住宅区:住宅小区,公司企业:公司企业,房产小区:产业园区,地名地址:行政地名,房产小区:住宅区:住宅小区"
"(17, 55)",娱乐休闲:其它娱乐休闲
"(17, 51)",公司企业:公司企业
"(19, 47)",运动健身:高尔夫场
"(20, 48)",None
"(19, 48)",None
"(18, 41)",None
"(18, 42)","生活服务:邮局速递:速递,购物:农贸市场,娱乐休闲:洗浴推拿足疗:洗浴,地名地址:行政地名,医疗保健:卫生院,汽车:其它汽车,购物:超市,基础设施:交通设施:公交车站,教育学校:幼儿园,酒店宾馆:旅馆招待所,生活服务:美容美发:美发,购物:农贸市场,地名地址:道路名,购物:超市,娱乐休闲:其它娱乐休闲,公司企业:公司企业,购物:数码家电,医疗保健:药房药店,购物:超市,酒店宾馆:酒店宾馆"
